antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"all-purpose flour, egg",sugar,0.01345,0.24285,0.00565,0.42007434944237915,1.7297687850211205,0.0023836674999999996,1.3055983974358971,0.42763980852196554
sugar,"all-purpose flour, egg",0.24285,0.01345,0.00565,0.02326539015853407,1.7297687850211205,0.0023836674999999996,1.0100491884485665,0.5572053795117812
all-purpose flour,"sugar, egg",0.06365,0.0292,0.00565,0.08876669285153181,3.0399552346415004,0.0037914199999999998,1.0653693103448276,0.7166634139057185
egg,"sugar, all-purpose flour",0.0786,0.02395,0.00565,0.07188295165394401,3.001375851939207,0.00376753,1.051645373543523,0.7237024842918914
"all-purpose flour, milk",eggs,0.01525,0.1682,0.0065,0.4262295081967213,2.5340636634763456,0.0039349499999999996,1.4497085714285716,0.6147518893901224
"all-purpose flour, eggs",milk,0.02345,0.13375,0.0065,0.2771855010660981,2.0724149612418548,0.0033635625,1.1984402654867257,0.5298972442231875
"milk, eggs",all-purpose flour,0.04595,0.06365,0.0065,0.14145810663764963,2.222436867834244,0.0035752825,1.0906282002534855,0.5765352565782313
all-purpose flour,"milk, eggs",0.06365,0.04595,0.0065,0.1021209740769835,2.222436867834244,0.0035752825,1.0625596237970254,0.5874336108703601
milk,"all-purpose flour, eggs",0.13375,0.02345,0.0065,0.04859813084112149,2.0724149612418548,0.0033635625,1.0264327111984284,0.5973692973692974
eggs,"all-purpose flour, milk",0.1682,0.01525,0.0065,0.03864447086801427,2.5340636634763456,0.0039349499999999996,1.024334879406308,0.7277914439491742
"salt, all-purpose flour",eggs,0.04495,0.1682,0.01735,0.3859844271412681,2.2947944538719867,0.009789410000000002,1.354688768115942,0.5907869995490378
"salt, eggs",all-purpose flour,0.08805,0.06365,0.01735,0.19704713231118684,3.0957915524145614,0.0117456175,1.1661332036775107,0.7423442466526348
"all-purpose flour, eggs",salt,0.02345,0.3884,0.01735,0.7398720682302773,1.9049229357113215,0.008242020000000001,2.351150819672132,0.4864516721145443
salt,"all-purpose flour, eggs",0.3884,0.02345,0.01735,0.044670442842430484,1.9049229357113213,0.008242020000000001,1.0222126937070477,0.7767239705746539
all-purpose flour,"salt, eggs",0.06365,0.08805,0.01735,0.27258444619010214,3.0957915524145614,0.0117456175,1.2536850431965443,0.7229997711698298
eggs,"salt, all-purpose flour",0.1682,0.04495,0.01735,0.1031510107015458,2.2947944538719867,0.009789410000000002,1.0648949950281736,0.678325467563487
"sugar, all-purpose flour",eggs,0.02395,0.1682,0.01145,0.4780793319415449,2.842326587048424,0.00742161,1.5937287999999998,0.6640802682767567
"sugar, eggs",all-purpose flour,0.0791,0.06365,0.01145,0.14475347661188367,2.2742101588669863,0.006415285,1.094830524759793,0.6084123135664228
"all-purpose flour, eggs",sugar,0.02345,0.24285,0.01145,0.48827292110874204,2.0105946926446037,0.0057551675,1.4795972916666666,0.514704537563059
sugar,"all-purpose flour, eggs",0.24285,0.02345,0.01145,0.04714844554251595,2.0105946926446037,0.0057551675,1.0248710782195334,0.6638509095386717
all-purpose flour,"sugar, eggs",0.06365,0.0791,0.01145,0.17989002356637865,2.2742101588669867,0.006415285,1.1228981800766284,0.598373364194285
eggs,"sugar, all-purpose flour",0.1682,0.02395,0.01145,0.06807372175980976,2.8423265870484244,0.00742161,1.0473467942583732,0.7792444648371344
"all-purpose flour, vanilla",eggs,0.00985,0.1682,0.0055,0.5583756345177665,3.319712452543202,0.00384323,1.8835011494252873,0.7057204372156652
"all-purpose flour, eggs",vanilla,0.02345,0.0736,0.0055,0.2345415778251599,3.1867062204505423,0.00377408,1.2102551532033428,0.7026740705917399
"vanilla, eggs",all-purpose flour,0.03685,0.06365,0.0055,0.14925373134328357,2.3449132968308497,0.0031544974999999998,1.1006219298245614,0.5954887608368374
all-purpose flour,"vanilla, eggs",0.06365,0.03685,0.0055,0.08641005498821681,2.3449132968308497,0.0031544974999999998,1.054247592433362,0.612532706786992
vanilla,"all-purpose flour, eggs",0.0736,0.02345,0.0055,0.07472826086956522,3.1867062204505423,0.00377408,1.055419676945668,0.74071282775946
eggs,"all-purpose flour, vanilla",0.1682,0.00985,0.0055,0.032699167657550536,3.319712452543202,0.00384323,1.0236215734480638,0.8400686353800083
"all-purpose flour, eggs",vanilla extract,0.02345,0.0356,0.0065,0.2771855010660981,7.786109580508373,0.00566518,1.3342289085545722,0.8924951654765796
"all-purpose flour, vanilla extract",eggs,0.01065,0.1682,0.0065,0.6103286384976526,3.628588813898054,0.00470867,2.134619277108434,0.7322087928748868
"eggs, vanilla extract",all-purpose flour,0.0191,0.06365,0.0065,0.3403141361256545,5.346647857433692,0.005284285,1.4193876984126985,0.828796944721096
all-purpose flour,"eggs, vanilla extract",0.06365,0.0191,0.0065,0.1021209740769835,5.346647857433692,0.005284285,1.0924634295713036,0.8682297464376815
eggs,"all-purpose flour, vanilla extract",0.1682,0.01065,0.0065,0.03864447086801427,3.628588813898054,0.00470867,1.0291197897340754,0.8708953705587512
vanilla extract,"all-purpose flour, eggs",0.0356,0.02345,0.0065,0.18258426966292135,7.7861095805083735,0.00566518,1.1946797250859107,0.903739271926746
"salt, all-purpose flour",granulated sugar,0.04495,0.0206,0.00525,0.11679644048943272,5.669730120846248,0.00432403,1.1089176322418137,0.8623891543948087
"salt, granulated sugar",all-purpose flour,0.0112,0.06365,0.00525,0.46875000000000006,7.3644933228593885,0.00453712,1.7625411764705883,0.8740021574973033
"all-purpose flour, granulated sugar",salt,0.00745,0.3884,0.00525,0.7046979865771813,1.8143614484479436,0.00235642,2.0711000000000004,0.45221087578651425
salt,"all-purpose flour, granulated sugar",0.3884,0.00745,0.00525,0.013516992790937179,1.8143614484479436,0.00235642,1.0061501239723347,0.7338814662555672
all-purpose flour,"salt, granulated sugar",0.06365,0.0112,0.00525,0.08248232521602515,7.3644933228593885,0.00453712,1.077690410958904,0.9229597194781153
granulated sugar,"salt, all-purpose flour",0.0206,0.04495,0.00525,0.25485436893203883,5.669730120846248,0.00432403,1.2816957654723127,0.8409482968192382
"salt, all-purpose flour",margarine,0.04495,0.08565,0.00945,0.21023359288097887,2.4545661749092686,0.0056000325,1.1577473943661971,0.6204869187435545
"salt, margarine",all-purpose flour,0.037,0.06365,0.00945,0.2554054054054054,4.01265365915798,0.00709495,1.257529945553539,0.7796348492090963
"all-purpose flour, margarine",salt,0.013,0.3884,0.00945,0.726923076923077,1.8715836172066862,0.0044008,2.2396619718309863,0.471826871016334
salt,"all-purpose flour, margarine",0.3884,0.013,0.00945,0.024330587023686918,1.871583617206686,0.0044008,1.0116131415754057,0.7614341427291068
all-purpose flour,"salt, margarine",0.06365,0.037,0.00945,0.14846818538884526,4.01265365915798,0.00709495,1.1309031365313653,0.8018244884801194
margarine,"salt, all-purpose flour",0.08565,0.04495,0.00945,0.11033274956217162,2.4545661749092686,0.0056000325,1.0734912401574803,0.6481063397452089
"sugar, all-purpose flour",margarine,0.02395,0.08565,0.00575,0.24008350730688935,2.803076559333209,0.0036986824999999997,1.2032243131868132,0.6590329700679091
"sugar, margarine",all-purpose flour,0.03035,0.06365,0.00575,0.18945634266886327,2.976533270524168,0.0038182225,1.1552122967479674,0.6848230760090486
"all-purpose flour, margarine",sugar,0.013,0.24285,0.00575,0.44230769230769235,1.8213205365768677,0.00259295,1.357648275862069,0.45688736179022954
sugar,"all-purpose flour, margarine",0.24285,0.013,0.00575,0.023677166975499278,1.8213205365768677,0.00259295,1.0109361029101644,0.5955858496823042
all-purpose flour,"sugar, margarine",0.06365,0.03035,0.00575,0.09033778476040849,2.976533270524168,0.0038182225,1.0659451208981003,0.7091778668790237
margarine,"sugar, all-purpose flour",0.08565,0.02395,0.00575,0.06713368359603035,2.803076559333209,0.0036986824999999997,1.046291395494368,0.7035042712689699
"salt, all-purpose flour",milk,0.04495,0.13375,0.0124,0.27586206896551724,2.0625201417982595,0.0063879374999999995,1.19625,0.5394023873095649
"salt, milk",all-purpose flour,0.06705,0.06365,0.0124,0.1849366144668158,2.905524186438583,0.0081322675,1.1488063586459287,0.702961599435713
"all-purpose flour, milk",salt,0.01525,0.3884,0.0124,0.8131147540983606,2.093498337019466,0.006476899999999999,3.27259649122807,0.5304195431950142
salt,"all-purpose flour, milk",0.3884,0.01525,0.0124,0.03192584963954686,2.0934983370194664,0.006476899999999999,1.0172257978723405,0.854039642186544
all-purpose flour,"salt, milk",0.06365,0.06705,0.0124,0.194815396700707,2.905524186438583,0.0081322675,1.1586783902439024,0.7004090609211816
milk,"salt, all-purpose flour",0.13375,0.04495,0.0124,0.09271028037383176,2.0625201417982595,0.0063879374999999995,1.052640605686032,0.5946969696969697
"sugar, all-purpose flour",milk,0.02395,0.13375,0.0063,0.2630480167014614,1.966714143562328,0.0030966875,1.1754497167138809,0.5035988918730582
"sugar, milk",all-purpose flour,0.0504,0.06365,0.0063,0.125,1.9638648860958368,0.0030920400000000003,1.0701142857142858,0.516849199663016
"all-purpose flour, milk",sugar,0.01525,0.24285,0.0063,0.4131147540983607,1.7011107848398628,0.0025965375,1.2901159217877094,0.41853141358091855
sugar,"all-purpose flour, milk",0.24285,0.01525,0.0063,0.025941939468807906,1.7011107848398628,0.0025965375,1.010976696258719,0.5443423489715506
all-purpose flour,"sugar, milk",0.06365,0.0504,0.0063,0.09897879025923016,1.9638648860958365,0.0030920400000000003,1.0539152571926766,0.5241629732471832
milk,"sugar, all-purpose flour",0.13375,0.02395,0.0063,0.04710280373831775,1.9667141435623279,0.0030966875,1.0242972734405649,0.5674316864793055
"sugar, salt",all-purpose flour,0.11805,0.06365,0.01715,0.1452774248199915,2.282441866771273,0.0096361175,1.0955016600594647,0.6370800391459621
"sugar, all-purpose flour",salt,0.02395,0.3884,0.01715,0.7160751565762004,1.843653853182802,0.007847819999999998,2.1540911764705877,0.46882724636979867
"salt, all-purpose flour",sugar,0.04495,0.24285,0.01715,0.3815350389321468,1.5710728389217492,0.006233892499999999,1.2242407374100719,0.38060025553895416
sugar,"salt, all-purpose flour",0.24285,0.04495,0.01715,0.07061972410953263,1.5710728389217494,0.006233892499999999,1.0276202591936199,0.4800796064881175
salt,"sugar, all-purpose flour",0.3884,0.02395,0.01715,0.044155509783728106,1.843653853182802,0.007847819999999998,1.021138909090909,0.7481995320785514
all-purpose flour,"sugar, salt",0.06365,0.11805,0.01715,0.26944226237234875,2.282441866771273,0.0096361175,1.2072283333333331,0.6000670054197483
"salt, all-purpose flour",vanilla,0.04495,0.0736,0.00715,0.15906562847608455,2.1612177782076705,0.0038416800000000005,1.101631746031746,0.562586149518771
"salt, vanilla",all-purpose flour,0.0369,0.06365,0.00715,0.1937669376693767,3.044256679801676,0.0048013150000000004,1.1613887394957982,0.6972407718955327
"all-purpose flour, vanilla",salt,0.00985,0.3884,0.00715,0.7258883248730965,1.8689194770162112,0.0033242600000000003,2.2312074074074078,0.4695566010518291
salt,"all-purpose flour, vanilla",0.3884,0.00985,0.00715,0.01840885684860968,1.8689194770162114,0.0033242600000000003,1.0087193704918034,0.7601887974680651
all-purpose flour,"salt, vanilla",0.06365,0.0369,0.00715,0.11233307148468186,3.044256679801676,0.0048013150000000004,1.0849790265486725,0.7171598092728012
vanilla,"salt, all-purpose flour",0.0736,0.04495,0.00715,0.09714673913043478,2.1612177782076705,0.0038416800000000005,1.05781309255079,0.579984782057321
"salt, all-purpose flour",vanilla extract,0.04495,0.0356,0.00765,0.17018909899888765,4.78059266850808,0.006049779999999999,1.1621924932975871,0.8280413748313489
"salt, vanilla extract",all-purpose flour,0.01855,0.06365,0.00765,0.41239892183288407,6.479166093211062,0.0064692924999999995,1.5935130733944953,0.8616426209453333
"all-purpose flour, vanilla extract",salt,0.01065,0.3884,0.00765,0.7183098591549296,1.8494074643535776,0.00351354,2.17118,0.46423032749765397
salt,"all-purpose flour, vanilla extract",0.3884,0.01065,0.00765,0.019696189495365602,1.8494074643535776,0.00351354,1.009227944845699,0.7509585914156377
all-purpose flour,"salt, vanilla extract",0.06365,0.01855,0.00765,0.1201885310290652,6.479166093211061,0.0064692924999999995,1.115523080357143,0.9031442840036282
vanilla extract,"salt, all-purpose flour",0.0356,0.04495,0.00765,0.2148876404494382,4.78059266850808,0.006049779999999999,1.2164500894454382,0.8200133917800494
"salt, all-purpose flour",water,0.04495,0.18135,0.0097,0.21579532814238045,1.1899383961531869,0.0015483175000000002,1.0439239007092198,0.16713298866524504
"salt, water",all-purpose flour,0.0842,0.06365,0.0097,0.1152019002375297,1.8099277335040016,0.0043406700000000005,1.0582640268456376,0.4886348029889928
"all-purpose flour, water",salt,0.0126,0.3884,0.0097,0.7698412698412699,1.9820835989734034,0.00480616,2.657296551724138,0.5018031318322199
salt,"all-purpose flour, water",0.3884,0.0126,0.0097,0.024974253347064882,1.9820835989734034,0.00480616,1.0126912067599685,0.8101380189194475
all-purpose flour,"salt, water",0.06365,0.0842,0.0097,0.15239591516103693,1.8099277335040016,0.0043406700000000005,1.0804572752548656,0.47791077329771947
water,"salt, all-purpose flour",0.18135,0.04495,0.0097,0.053487730907085744,1.1899383961531869,0.0015483175000000002,1.0090202009903873,0.1949799802415468
"sugar, all-purpose flour",vanilla,0.02395,0.0736,0.0053,0.22129436325678498,3.006716892075883,0.0035372800000000003,1.1896664879356569,0.6837880444185411
"sugar, vanilla",all-purpose flour,0.0481,0.06365,0.0053,0.1101871101871102,1.7311407727747086,0.0022384350000000004,1.05229988317757,0.44368759997383594
"all-purpose flour, vanilla",sugar,0.00985,0.24285,0.0053,0.5380710659898478,2.215651908543742,0.0029079275,1.6391049450549453,0.5541236843283703
sugar,"all-purpose flour, vanilla",0.24285,0.00985,0.0053,0.021824171299155856,2.215651908543742,0.0029079275,1.0122413281414437,0.7246457981083483
all-purpose flour,"sugar, vanilla",0.06365,0.0481,0.0053,0.08326787117046347,1.7311407727747083,0.0022384350000000004,1.0383622107969153,0.4510559367918988
vanilla,"sugar, all-purpose flour",0.0736,0.02395,0.0053,0.07201086956521739,3.006716892075883,0.0035372800000000003,1.051790336749634,0.7204353635089779
"sugar, all-purpose flour",vanilla extract,0.02395,0.0356,0.00555,0.23173277661795408,6.509347657807699,0.00469738,1.2552923913043479,0.8671428459349161
"sugar, vanilla extract",all-purpose flour,0.0203,0.06365,0.00555,0.2733990147783252,4.295349800130796,0.004257905,1.2886715254237289,0.7830867511381954
"all-purpose flour, vanilla extract",sugar,0.01065,0.24285,0.00555,0.5211267605633804,2.145879187001772,0.0029636475000000004,1.5811073529411768,0.5397387583166126
sugar,"all-purpose flour, vanilla extract",0.24285,0.01065,0.00555,0.02285361334156887,2.1458791870017717,0.0029636475000000004,1.012489032869785,0.7052638718094705
all-purpose flour,"sugar, vanilla extract",0.06365,0.0203,0.00555,0.08719560094265515,4.295349800130795,0.004257905,1.073285800344234,0.8193411545790463
vanilla extract,"sugar, all-purpose flour",0.0356,0.02395,0.00555,0.1558988764044944,6.5093476578077,0.00469738,1.1563188019966721,0.8776179746731385
"sugar, all-purpose flour",water,0.02395,0.18135,0.0045,0.18789144050104384,1.036070805078819,0.00015666749999999983,1.0080548843187662,0.035669279237743934
"sugar, water",all-purpose flour,0.05565,0.06365,0.0045,0.08086253369272237,1.2704247241590316,0.0009578774999999999,1.0187268328445747,0.2254054817246431
"all-purpose flour, water",sugar,0.0126,0.24285,0.0045,0.3571428571428571,1.4706314891614456,0.0014400899999999993,1.1777888888888888,0.32410370670447625
sugar,"all-purpose flour, water",0.24285,0.0126,0.0045,0.018529956763434215,1.4706314891614456,0.0014400899999999993,1.0060419131529263,0.4226639371326684
all-purpose flour,"sugar, water",0.06365,0.05565,0.0045,0.07069913589945011,1.2704247241590316,0.0009578774999999999,1.0161940405748098,0.22733130417756892
water,"sugar, all-purpose flour",0.18135,0.02395,0.0045,0.024813895781637715,1.036070805078819,0.00015666749999999983,1.0008858778625953,0.04252733158248331
"salt, onion",bacon,0.08265,0.0289,0.00495,0.059891107078039935,2.0723566462989598,0.0025614150000000005,1.0329654440154439,0.5640786785388083
"salt, bacon",onion,0.0111,0.1885,0.00495,0.44594594594594594,2.3657609864506415,0.00285765,1.464658536585366,0.5837830218455154
"onion, bacon",salt,0.01175,0.3884,0.00495,0.4212765957446809,1.084646230032649,0.0003863,1.0568088235294117,0.07896828134622215
salt,"onion, bacon",0.3884,0.01175,0.00495,0.012744593202883625,1.084646230032649,0.0003863,1.0010074325205371,0.12760039901962728
onion,"salt, bacon",0.1885,0.0111,0.00495,0.026259946949602125,2.365760986450642,0.00285765,1.015568782348134,0.7114023786851883
bacon,"salt, onion",0.0289,0.08265,0.00495,0.171280276816609,2.0723566462989598,0.0025614150000000005,1.1069484342379958,0.5328571473149788
"salt, pepper",bacon,0.07895,0.0289,0.0047,0.05953134895503483,2.0599082683403056,0.002418345,1.032570303030303,0.5586466417259671
"salt, bacon",pepper,0.0111,0.1033,0.0047,0.42342342342342343,4.098968280962473,0.00355337,1.5552140625000002,0.7645223685031509
"pepper, bacon",salt,0.0053,0.3884,0.0047,0.8867924528301887,2.2831937508501254,0.00264148,5.402466666666667,0.5650115826647186
salt,"pepper, bacon",0.3884,0.0053,0.0047,0.012100926879505664,2.2831937508501254,0.00264148,1.0068842324732865,0.9189290733757288
pepper,"salt, bacon",0.1033,0.0111,0.0047,0.04549854791868345,4.098968280962473,0.00355337,1.0360382352941178,0.8431316719223441
bacon,"salt, pepper",0.0289,0.07895,0.0047,0.16262975778546715,2.0599082683403056,0.002418345,1.099931611570248,0.5298542779957802
"baking soda, brown sugar",baking powder,0.01845,0.076,0.007,0.3794037940379404,4.992155184709742,0.0055978,1.4888908296943233,0.8147172475021285
"baking powder, brown sugar",baking soda,0.01435,0.06305,0.007,0.4878048780487805,7.7367942592986605,0.0060952325000000005,1.8292833333333332,0.8834246436361792
"baking soda, baking powder",brown sugar,0.0272,0.08,0.007,0.2573529411764706,3.2169117647058827,0.004824,1.2388118811881188,0.7084116541353384
brown sugar,"baking soda, baking powder",0.08,0.0272,0.007,0.0875,3.2169117647058822,0.004824,1.0660821917808219,0.7490683229813664
baking soda,"baking powder, brown sugar",0.06305,0.01435,0.007,0.11102299762093577,7.7367942592986605,0.0060952325000000005,1.1087463425512936,0.9293425476279418
baking powder,"baking soda, brown sugar",0.076,0.01845,0.007,0.09210526315789475,4.992155184709742,0.0055978,1.081127536231884,0.865460729746444
"butter, baking soda",baking powder,0.0289,0.076,0.012,0.4152249134948097,5.463485703879075,0.0098036,1.5800946745562132,0.8412796485085643
"butter, baking powder",baking soda,0.0356,0.06305,0.012,0.33707865168539325,5.3462117634479505,0.00975542,1.4133652542372879,0.8429610811558136
"baking soda, baking powder",butter,0.0272,0.26755,0.012,0.44117647058823534,1.648949619092638,0.00472264,1.3107,0.40455729166666665
butter,"baking soda, baking powder",0.26755,0.0272,0.012,0.044851429639319755,1.648949619092638,0.00472264,1.0184802973977696,0.5373108517077388
baking soda,"butter, baking powder",0.06305,0.0356,0.012,0.19032513877874704,5.3462117634479505,0.00975542,1.1910953966699314,0.867657470160272
baking powder,"butter, baking soda",0.076,0.0289,0.012,0.15789473684210528,5.463485703879075,0.0098036,1.15318125,0.8841630591630592
"baking soda, baking powder",buttermilk,0.0272,0.0165,0.0059,0.21691176470588236,13.146167557932264,0.0054512,1.255924882629108,0.9497658340767172
"baking soda, buttermilk",baking powder,0.01135,0.076,0.0059,0.5198237885462554,6.839786691398098,0.0050374,1.9242935779816512,0.8635984526065761
"baking powder, buttermilk",baking soda,0.00725,0.06305,0.0059,0.8137931034482758,12.907107112581695,0.0054428875,5.0317685185185175,0.9292604432986611
baking soda,"baking powder, buttermilk",0.06305,0.00725,0.0059,0.09357652656621729,12.907107112581695,0.0054428875,1.0952386264216973,0.9846024922191641
baking powder,"baking soda, buttermilk",0.076,0.01135,0.0059,0.07763157894736843,6.839786691398099,0.0050374,1.0718601997146933,0.9240223053782376
buttermilk,"baking soda, baking powder",0.0165,0.0272,0.0059,0.35757575757575755,13.146167557932264,0.0054512,1.514264150943396,0.9394328453379058
"cinnamon, baking soda",baking powder,0.01825,0.076,0.00875,0.47945205479452063,6.308579668348956,0.0073630000000000015,1.7750526315789479,0.8571283058678018
"cinnamon, baking powder",baking soda,0.01655,0.06305,0.00875,0.5287009063444109,8.385422781037446,0.007706522500000001,1.9880157051282052,0.8955670634718883
"baking soda, baking powder",cinnamon,0.0272,0.0636,0.00875,0.32169117647058826,5.058037365889752,0.007020080000000001,1.3804921409214095,0.8247274436090226
cinnamon,"baking soda, baking powder",0.0636,0.0272,0.00875,0.13757861635220126,5.058037365889752,0.007020080000000001,1.1279868732907932,0.8567864770854946
baking soda,"cinnamon, baking powder",0.06305,0.01655,0.00875,0.13877874702616974,8.385422781037446,0.007706522500000001,1.1419249079189688,0.9400132649249465
baking powder,"cinnamon, baking soda",0.076,0.01825,0.00875,0.11513157894736843,6.308579668348956,0.0073630000000000015,1.1094869888475838,0.9106988249845392
"baking soda, baking powder",egg,0.0272,0.0786,0.00705,0.25919117647058826,3.2975976650202066,0.00491208,1.2437756823821342,0.7162304031354984
"baking soda, egg",baking powder,0.0151,0.076,0.00705,0.46688741721854304,6.143255489717672,0.0059024,1.733217391304348,0.8500556992141624
"baking powder, egg",baking soda,0.02025,0.06305,0.00705,0.34814814814814815,5.521778717655007,0.0057732375,1.437366477272727,0.835824379862427
baking soda,"baking powder, egg",0.06305,0.02025,0.00705,0.11181601903251388,5.521778717655007,0.0057732375,1.1030935267857143,0.8740049481511424
baking powder,"baking soda, egg",0.076,0.0151,0.00705,0.09276315789473684,6.143255489717672,0.0059024,1.0856040609137056,0.9060820975714593
egg,"baking soda, baking powder",0.0786,0.0272,0.00705,0.08969465648854962,3.2975976650202066,0.00491208,1.0686524109014675,0.7561850837532155
"baking soda, baking powder",eggs,0.0272,0.1682,0.0154,0.5661764705882354,3.366090788277262,0.010824960000000002,1.917369491525424,0.7225734791524266
"baking soda, eggs",baking powder,0.03475,0.076,0.0154,0.44316546762589926,5.83112457402499,0.012759,1.6593798449612402,0.8583335856063129
"baking powder, eggs",baking soda,0.0391,0.06305,0.0154,0.3938618925831202,6.246818280461859,0.012934745000000001,1.5457698312236285,0.874095646262365
baking soda,"baking powder, eggs",0.06305,0.0391,0.0154,0.2442505947660587,6.246818280461859,0.012934745000000001,1.2714532004197272,0.8964389844639592
baking powder,"baking soda, eggs",0.076,0.03475,0.0154,0.20263157894736844,5.83112457402499,0.012759,1.2105445544554456,0.8966520492494517
eggs,"baking soda, baking powder",0.1682,0.0272,0.0154,0.0915576694411415,3.3660907882772615,0.010824960000000002,1.0708439790575917,0.8450582838656896
"flour, baking soda",baking powder,0.03465,0.076,0.01455,0.4199134199134199,5.525176577808157,0.0119166,1.592865671641791,0.8484076337891443
"flour, baking powder",baking soda,0.04105,0.06305,0.01455,0.35444579780755175,5.6216621381055,0.0119617975,1.4513885849056603,0.8573092097259154
"baking soda, baking powder",flour,0.0272,0.14885,0.01455,0.5349264705882354,3.5937283882313427,0.01050128,1.8301407114624508,0.7419176162054621
flour,"baking soda, baking powder",0.14885,0.0272,0.01455,0.09774941215989251,3.5937283882313427,0.01050128,1.0781927029039464,0.847955656517269
baking soda,"flour, baking powder",0.06305,0.04105,0.01455,0.23076923076923078,5.6216621381055,0.0119617975,1.2466350000000002,0.8774392087802622
baking powder,"flour, baking soda",0.076,0.03465,0.01455,0.19144736842105264,5.525176577808157,0.0119166,1.1939235150528886,0.8863747935912882
"salt, baking soda",baking powder,0.0481,0.076,0.02195,0.4563409563409564,6.004486267644163,0.018294400000000002,1.6995946462715108,0.875572916031024
"salt, baking powder",baking soda,0.05705,0.06305,0.02195,0.38475021910604734,6.102303237209316,0.018352997500000003,1.5228774216524217,0.8867145116359857
"baking soda, baking powder",salt,0.0272,0.3884,0.02195,0.8069852941176471,2.077717029139153,0.011385520000000001,3.168670476190476,0.5332057007553052
salt,"baking soda, baking powder",0.3884,0.0272,0.02195,0.05651390319258496,2.077717029139153,0.011385520000000001,1.0310697775958522,0.848107432463638
baking soda,"salt, baking powder",0.06305,0.05705,0.02195,0.3481363996827915,6.102303237209316,0.018352997500000003,1.4465449513381996,0.8923928157822217
baking powder,"salt, baking soda",0.076,0.0481,0.02195,0.28881578947368425,6.004486267644164,0.018294400000000002,1.3384717853839039,0.9020106696644282
"sugar, baking soda",baking powder,0.0391,0.076,0.01725,0.4411764705882353,5.804953560371517,0.014278400000000002,1.6534736842105264,0.8614146459916052
"sugar, baking powder",baking soda,0.04605,0.06305,0.01725,0.3745928338762215,5.941202757751332,0.014346547500000001,1.4981440104166666,0.8718317658613954
"baking soda, baking powder",sugar,0.0272,0.24285,0.01725,0.6341911764705883,2.6114522399447737,0.010644480000000001,2.0697969849246234,0.634324942791762
sugar,"baking soda, baking powder",0.24285,0.0272,0.01725,0.07103150092649783,2.6114522399447733,0.010644480000000001,1.0471829787234042,0.8149921473259277
baking soda,"sugar, baking powder",0.06305,0.04605,0.01725,0.2735923869944489,5.941202757751332,0.014346547500000001,1.3132433951965066,0.8876502620667894
baking powder,"sugar, baking soda",0.076,0.0391,0.01725,0.22697368421052633,5.8049535603715166,0.014278400000000002,1.243036595744681,0.8958152958152958
"baking soda, baking powder",vanilla,0.0272,0.0736,0.0082,0.30147058823529416,4.096067774936062,0.006198080000000001,1.3262147368421053,0.776997753530167
"baking soda, vanilla",baking powder,0.02205,0.076,0.0082,0.3718820861678005,4.8931853443131645,0.006524200000000001,1.4710613718411554,0.8135734407090991
"vanilla, baking powder",baking soda,0.0186,0.06305,0.0082,0.4408602150537635,6.992231801011317,0.00702727,1.6756990384615384,0.8732261527832315
baking soda,"vanilla, baking powder",0.06305,0.0186,0.0082,0.13005551149881048,6.992231801011316,0.00702727,1.1281179580674567,0.9146530192021596
baking powder,"baking soda, vanilla",0.076,0.02205,0.0082,0.10789473684210528,4.8931853443131645,0.006524200000000001,1.0962271386430678,0.8610759159539647
vanilla,"baking soda, baking powder",0.0736,0.0272,0.0082,0.11141304347826088,4.096067774936062,0.006198080000000001,1.094771865443425,0.8159147394582754
"baking soda, baking powder",vanilla extract,0.0272,0.0356,0.0046,0.16911764705882354,4.750495703899538,0.00363168,1.1606938053097346,0.8115703661327232
"baking soda, vanilla extract",baking powder,0.0092,0.076,0.0046,0.5,6.578947368421053,0.0039008,1.848,0.8558740411788454
"baking powder, vanilla extract",baking soda,0.0104,0.06305,0.0046,0.44230769230769235,7.015189410114075,0.00394428,1.6800482758620687,0.8664633932023478
baking soda,"baking powder, vanilla extract",0.06305,0.0104,0.0046,0.07295796986518636,7.015189410114074,0.00394428,1.0674812660393498,0.9151525416650231
baking powder,"baking soda, vanilla extract",0.076,0.0092,0.0046,0.060526315789473685,6.578947368421053,0.0039008,1.0546330532212884,0.9177489177489176
vanilla extract,"baking soda, baking powder",0.0356,0.0272,0.0046,0.12921348314606743,4.750495703899538,0.00363168,1.1171509677419356,0.8186392079779272
"butter, brown sugar",baking powder,0.036,0.076,0.00825,0.22916666666666669,3.015350877192983,0.005514000000000001,1.1987027027027028,0.6933232742361374
"baking powder, brown sugar",butter,0.01435,0.26755,0.00825,0.5749128919860628,2.148805426970894,0.0044106575,1.7230586065573774,0.5424087165983376
"butter, baking powder",brown sugar,0.0356,0.08,0.00825,0.23174157303370788,2.8967696629213484,0.0054020000000000006,1.1975137111517369,0.6789588125133542
brown sugar,"butter, baking powder",0.08,0.0356,0.00825,0.10312500000000001,2.8967696629213484,0.0054020000000000006,1.0752891986062718,0.7117259552042161
butter,"baking powder, brown sugar",0.26755,0.01435,0.00825,0.03083535787703233,2.148805426970894,0.0044106575,1.0170098630929425,0.7299135115231775
baking powder,"butter, brown sugar",0.076,0.036,0.00825,0.10855263157894737,3.015350877192983,0.005514000000000001,1.0813874538745387,0.7233372687918143
